epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.54406,1.9252,5.3901,1.01968,0.00319,1,0.00402,0.00154,1.56019,4.25532,0.89522,0.00018337,0.00018337,0.00018337
2,9.73177,1.48787,3.64274,0.9595,0.00311,0.91667,0.00635,0.0022,1.32209,4.21474,0.87411,0.000379614,0.000379614,0.000379614
3,12.0314,1.44509,2.75979,0.93367,0.0025,0.76667,0.00326,0.00121,1.38293,4.1736,0.89608,0.000571898,0.000571898,0.000571898
4,14.191,1.30254,2.17307,0.89505,0.00321,1,0.0054,0.00189,1.38552,3.94731,0.89533,0.00076022,0.00076022,0.00076022
5,16.324,1.2167,2.0082,0.88281,0.00252,0.75,0.00374,0.00134,1.31083,3.8217,0.86036,0.000944582,0.000944582,0.000944582
6,18.4336,1.30362,1.88776,0.90144,0.00206,0.73333,0.00182,0.00097,1.28143,3.54581,0.88005,0.00112498,0.00112498,0.00112498
7,20.6813,1.43896,1.69301,0.92689,0.00314,0.96667,0.00514,0.00244,1.67825,3.4183,0.96996,0.00130142,0.00130142,0.00130142
8,22.8943,1.4019,1.68038,0.92855,0.0032,1,0.63654,0.39816,1.25141,2.97835,0.87615,0.0014739,0.0014739,0.0014739
9,25.0575,1.37494,1.54422,0.90847,0.00566,1,0.4688,0.2314,1.55026,3.02785,0.95019,0.00153497,0.00153497,0.00153497
10,27.115,1.32572,1.4519,0.90323,1,0.27578,0.995,0.64837,1.2329,2.40535,0.87366,0.00151847,0.00151847,0.00151847
11,29.3448,1.24883,1.38549,0.87703,0.93918,1,0.995,0.68192,1.18162,1.58437,0.87512,0.00150197,0.00150197,0.00150197
12,31.5282,1.22794,1.32149,0.90487,0.96844,1,0.995,0.66778,1.19237,1.20163,0.86735,0.00148546,0.00148546,0.00148546
13,33.5811,1.18329,1.25536,0.88218,0.97231,1,0.995,0.62807,1.335,0.9397,0.90099,0.00146896,0.00146896,0.00146896
14,35.6487,1.2089,1.1732,0.88601,0.98494,1,0.995,0.68325,1.18106,0.80964,0.86274,0.00145246,0.00145246,0.00145246
15,37.825,1.18831,1.14938,0.88418,0.95884,1,0.995,0.62359,1.17,0.75694,0.8757,0.00143595,0.00143595,0.00143595
16,39.869,1.20056,1.05044,0.88345,0.9812,1,0.995,0.69184,1.12335,0.639,0.85757,0.00141945,0.00141945,0.00141945
17,42.0495,1.2002,1.01042,0.90547,0.99159,1,0.995,0.65835,1.18266,0.57706,0.87256,0.00140295,0.00140295,0.00140295
18,44.0444,1.15787,0.97244,0.8968,0.97128,0.99578,0.995,0.67461,1.21319,0.58409,0.86391,0.00138644,0.00138644,0.00138644
19,46.073,1.13122,0.95443,0.86886,0.98851,1,0.995,0.62842,1.26916,0.69912,0.86824,0.00136994,0.00136994,0.00136994
20,48.1712,1.11023,0.89256,0.8795,0.99428,1,0.995,0.66746,1.29107,0.63091,0.8734,0.00135344,0.00135344,0.00135344
21,50.2093,1.16645,0.90611,0.87453,0.99077,1,0.995,0.67606,1.12047,0.55487,0.86133,0.00133693,0.00133693,0.00133693
22,52.2542,1.12653,0.9058,0.87748,0.98902,1,0.995,0.61977,1.21034,0.61269,0.88636,0.00132043,0.00132043,0.00132043
23,54.2581,1.15105,0.87966,0.88466,0.99073,1,0.995,0.66686,1.10502,0.52428,0.85598,0.00130393,0.00130393,0.00130393
24,56.342,1.12364,0.81057,0.87019,0.98901,1,0.995,0.70439,1.1048,0.54894,0.83989,0.00128742,0.00128742,0.00128742
25,58.5563,1.13757,0.77257,0.87304,0.99118,1,0.995,0.67919,1.19956,0.5556,0.86446,0.00127092,0.00127092,0.00127092
26,60.6374,1.03126,0.75861,0.8605,0.99068,1,0.995,0.67194,1.16384,0.58898,0.8582,0.00125442,0.00125442,0.00125442
27,62.6986,1.04238,0.73567,0.87385,0.98122,1,0.995,0.64504,1.20151,0.58017,0.86849,0.00123791,0.00123791,0.00123791
28,64.758,1.08937,0.74476,0.85814,0.99062,1,0.995,0.67844,1.10473,0.5403,0.84343,0.00122141,0.00122141,0.00122141
29,66.9115,1.0607,0.69697,0.88603,0.98462,1,0.995,0.6699,1.19873,0.52545,0.86107,0.00120491,0.00120491,0.00120491
30,68.9981,1.17679,0.71745,0.87461,0.99305,1,0.995,0.66074,1.26171,0.57928,0.88158,0.0011884,0.0011884,0.0011884
31,71.3423,1.12936,0.70854,0.86309,0.99226,1,0.995,0.67786,1.08648,0.54271,0.83166,0.0011719,0.0011719,0.0011719
32,73.4808,1.13543,0.71315,0.84345,0.98656,1,0.995,0.65133,1.21297,0.55376,0.87138,0.0011554,0.0011554,0.0011554
33,75.5305,1.15593,0.69713,0.90069,0.99311,1,0.995,0.68518,1.14651,0.52626,0.84109,0.00113889,0.00113889,0.00113889
34,77.613,1.07534,0.65125,0.86304,0.98941,1,0.995,0.65026,1.14836,0.51793,0.8553,0.00112239,0.00112239,0.00112239
35,79.6768,1.06517,0.64317,0.86652,0.99162,1,0.995,0.68633,1.08261,0.5195,0.83703,0.00110589,0.00110589,0.00110589
36,81.8166,1.09363,0.63992,0.87828,0.99101,1,0.995,0.59862,1.41055,0.60987,0.89685,0.00108938,0.00108938,0.00108938
37,84.0149,1.10264,0.66442,0.86337,0.99102,1,0.995,0.67716,1.1552,0.56634,0.8501,0.00107288,0.00107288,0.00107288
38,86.3087,1.07982,0.64607,0.86617,0.9935,1,0.995,0.67386,1.22293,0.55782,0.87062,0.00105638,0.00105638,0.00105638
39,88.3592,1.06993,0.62601,0.85,0.99284,1,0.995,0.64966,1.14987,0.54231,0.85832,0.00103987,0.00103987,0.00103987
40,90.4254,1.0307,0.62469,0.8445,0.99206,1,0.995,0.67205,1.11476,0.5458,0.85353,0.00102337,0.00102337,0.00102337
41,92.381,1.01539,0.61642,0.84666,0.99189,1,0.995,0.66015,1.18412,0.5468,0.85042,0.00100687,0.00100687,0.00100687
42,94.3103,1.01769,0.60139,0.83531,0.99353,1,0.995,0.66661,1.19288,0.52697,0.85791,0.000990365,0.000990365,0.000990365
43,96.2306,1.02247,0.5907,0.84153,0.99349,1,0.995,0.69847,1.19041,0.53209,0.85577,0.000973861,0.000973861,0.000973861
44,98.1613,1.01734,0.58676,0.84637,0.99075,1,0.995,0.68106,1.22114,0.54287,0.86123,0.000957358,0.000957358,0.000957358
45,100.106,0.96552,0.55876,0.84572,0.98901,1,0.995,0.67275,1.14385,0.50789,0.85597,0.000940855,0.000940855,0.000940855
46,102.087,1.00142,0.57707,0.85355,0.99354,1,0.995,0.69773,1.09928,0.50318,0.84521,0.000924352,0.000924352,0.000924352
47,104.027,1.01791,0.56603,0.84728,0.9847,1,0.995,0.6817,1.18582,0.50054,0.85665,0.000907848,0.000907848,0.000907848
48,105.995,1.00923,0.57731,0.85558,0.99357,1,0.995,0.7048,1.17536,0.52889,0.8564,0.000891345,0.000891345,0.000891345
49,108.185,1.05323,0.57714,0.84342,0.9936,1,0.995,0.69478,1.19018,0.51129,0.85838,0.000874842,0.000874842,0.000874842
50,110.18,1.0499,0.57518,0.8636,0.9899,1,0.995,0.67879,1.15842,0.52154,0.8517,0.000858338,0.000858338,0.000858338
51,112.249,1.01719,0.54711,0.84789,0.99239,1,0.995,0.72016,1.11652,0.50506,0.84456,0.000841835,0.000841835,0.000841835
52,114.517,1.0448,0.57413,0.85694,0.9928,1,0.995,0.72049,1.10756,0.50809,0.84451,0.000825332,0.000825332,0.000825332
53,116.876,0.99662,0.55011,0.86017,0.99256,1,0.995,0.67214,1.09595,0.48637,0.84295,0.000808828,0.000808828,0.000808828
54,118.959,0.99415,0.56301,0.83619,0.99226,1,0.995,0.6439,1.18823,0.52953,0.85593,0.000792325,0.000792325,0.000792325
55,121.041,1.04046,0.54728,0.85313,0.99257,1,0.995,0.71309,1.13029,0.53448,0.8405,0.000775822,0.000775822,0.000775822
56,123.104,0.97545,0.52544,0.84182,0.99256,1,0.995,0.69153,1.12554,0.52261,0.84064,0.000759318,0.000759318,0.000759318
57,125.207,1.00145,0.54313,0.84166,0.9922,1,0.995,0.68858,1.17321,0.50761,0.84943,0.000742815,0.000742815,0.000742815
58,127.336,0.98879,0.52622,0.86019,0.98958,1,0.995,0.69934,1.16362,0.48155,0.85635,0.000726312,0.000726312,0.000726312
59,129.384,0.96693,0.51934,0.85488,0.99335,1,0.995,0.7074,1.12664,0.50305,0.84735,0.000709809,0.000709809,0.000709809
60,131.461,0.986,0.50487,0.83917,0.99218,1,0.995,0.68377,1.16438,0.49939,0.8577,0.000693305,0.000693305,0.000693305
61,133.497,0.99552,0.52767,0.84617,0.99192,1,0.995,0.69861,1.12895,0.49387,0.83978,0.000676802,0.000676802,0.000676802
62,135.543,0.96588,0.51869,0.82514,0.9909,1,0.995,0.70484,1.1676,0.51544,0.85487,0.000660299,0.000660299,0.000660299
63,137.592,1.00544,0.52244,0.8469,0.992,1,0.995,0.7412,1.09187,0.48866,0.84241,0.000643795,0.000643795,0.000643795
64,139.899,0.97347,0.51346,0.85517,0.99186,1,0.995,0.67889,1.18479,0.49963,0.85536,0.000627292,0.000627292,0.000627292
65,142.006,0.98319,0.51692,0.83539,0.99155,1,0.995,0.69569,1.11846,0.46849,0.84548,0.000610789,0.000610789,0.000610789
66,144.37,1.0252,0.50918,0.85529,0.99381,1,0.995,0.68922,1.18224,0.49061,0.86176,0.000594286,0.000594286,0.000594286
67,146.456,0.97968,0.51495,0.82149,0.99204,1,0.995,0.71564,1.12004,0.47606,0.84411,0.000577782,0.000577782,0.000577782
68,148.53,1.01677,0.51676,0.83445,0.99164,1,0.995,0.68806,1.19815,0.49357,0.86417,0.000561279,0.000561279,0.000561279
69,150.599,0.99253,0.50528,0.84352,0.99171,1,0.995,0.72528,1.09584,0.48644,0.83759,0.000544776,0.000544776,0.000544776
70,152.665,0.96286,0.49961,0.84267,0.99286,1,0.995,0.70545,1.11873,0.48399,0.84716,0.000528272,0.000528272,0.000528272
71,154.743,0.97239,0.50142,0.84071,0.99107,1,0.995,0.70176,1.112,0.44269,0.84521,0.000511769,0.000511769,0.000511769
72,156.796,0.95295,0.48255,0.83827,0.98997,1,0.995,0.69851,1.09938,0.45215,0.84677,0.000495266,0.000495266,0.000495266
73,158.855,0.93446,0.48032,0.83544,0.99329,1,0.995,0.70536,1.11956,0.46319,0.84273,0.000478762,0.000478762,0.000478762
74,160.922,0.94141,0.48339,0.84307,0.99292,1,0.995,0.72509,1.09512,0.47007,0.84539,0.000462259,0.000462259,0.000462259
75,162.959,0.91867,0.47391,0.83807,0.99193,1,0.995,0.72244,1.0808,0.45012,0.84257,0.000445756,0.000445756,0.000445756
76,165.014,0.92175,0.47526,0.83201,0.99271,1,0.995,0.70894,1.08712,0.45028,0.83936,0.000429253,0.000429253,0.000429253
77,167.078,0.89809,0.46622,0.83518,0.99387,1,0.995,0.70509,1.0983,0.45609,0.83757,0.000412749,0.000412749,0.000412749
78,169.049,0.94229,0.46524,0.83753,0.99351,1,0.995,0.71709,1.11205,0.47714,0.84174,0.000396246,0.000396246,0.000396246
79,171.043,0.95955,0.48239,0.85606,0.99064,1,0.995,0.72679,1.10456,0.46283,0.8407,0.000379743,0.000379743,0.000379743
80,173.009,0.94741,0.47006,0.83509,0.99321,1,0.995,0.74153,1.12626,0.46393,0.83963,0.000363239,0.000363239,0.000363239
81,175.227,0.93554,0.46993,0.83894,0.99284,1,0.995,0.71598,1.14233,0.46484,0.84123,0.000346736,0.000346736,0.000346736
82,177.174,0.93849,0.48216,0.8256,0.99344,1,0.995,0.74175,1.07614,0.44161,0.8371,0.000330233,0.000330233,0.000330233
83,179.366,0.91863,0.46661,0.82554,0.99209,1,0.995,0.74742,1.0717,0.4739,0.83845,0.000313729,0.000313729,0.000313729
84,181.594,0.90139,0.45664,0.84182,0.99351,1,0.995,0.71962,1.11857,0.46631,0.8433,0.000297226,0.000297226,0.000297226
85,183.535,0.94239,0.46332,0.84281,0.99353,1,0.995,0.71795,1.10839,0.44106,0.84019,0.000280723,0.000280723,0.000280723
86,185.482,0.93385,0.4614,0.83573,0.99337,1,0.995,0.71689,1.11205,0.47291,0.84393,0.00026422,0.00026422,0.00026422
87,187.437,0.9242,0.46919,0.83834,0.99285,1,0.995,0.71197,1.12663,0.47435,0.84683,0.000247716,0.000247716,0.000247716
88,189.4,0.92625,0.47508,0.84277,0.98976,1,0.995,0.70543,1.12202,0.46958,0.84707,0.000231213,0.000231213,0.000231213
89,191.376,0.9215,0.46058,0.8371,0.98997,1,0.995,0.69564,1.13731,0.46921,0.84815,0.00021471,0.00021471,0.00021471
90,193.351,0.93075,0.44405,0.83793,0.99207,1,0.995,0.70182,1.12498,0.46374,0.84368,0.000198206,0.000198206,0.000198206
91,196.55,0.90802,0.48055,0.83813,0.99379,1,0.995,0.71483,1.09257,0.44307,0.83994,0.000181703,0.000181703,0.000181703
92,198.636,0.88096,0.46425,0.83578,0.99339,1,0.995,0.72016,1.12352,0.44466,0.84532,0.0001652,0.0001652,0.0001652
93,200.713,0.91783,0.45721,0.84143,0.99352,1,0.995,0.72623,1.07825,0.47285,0.84156,0.000148696,0.000148696,0.000148696
94,202.709,0.87645,0.44367,0.83357,0.9914,1,0.995,0.71537,1.0682,0.45868,0.8399,0.000132193,0.000132193,0.000132193
95,204.663,0.89271,0.44302,0.82874,0.99115,1,0.995,0.71208,1.08984,0.43732,0.83998,0.00011569,0.00011569,0.00011569
96,206.608,0.89679,0.44971,0.84358,0.99199,1,0.995,0.72301,1.09988,0.46459,0.84027,9.91865e-05,9.91865e-05,9.91865e-05
97,208.625,0.86705,0.43876,0.84241,0.99207,1,0.995,0.713,1.11186,0.46497,0.84169,8.26832e-05,8.26832e-05,8.26832e-05
98,210.638,0.88518,0.44025,0.85104,0.99225,1,0.995,0.71087,1.11394,0.45757,0.8419,6.61799e-05,6.61799e-05,6.61799e-05
99,212.619,0.88709,0.42952,0.85124,0.99261,1,0.995,0.69987,1.11901,0.45121,0.84311,4.96766e-05,4.96766e-05,4.96766e-05
100,214.658,0.90986,0.43991,0.83736,0.99278,1,0.995,0.70013,1.1199,0.4483,0.84278,3.31733e-05,3.31733e-05,3.31733e-05
